Date,Open,High,Low,Close,Volume
14-Nov-16,34.56,34.73,34.20,34.48,22529430
11-Nov-16,34.57,34.87,34.34,34.61,22665026
10-Nov-16,34.95,34.95,34.02,34.50,28250229
9-Nov-16,34.13,34.85,33.67,34.75,25999427
8-Nov-16,34.60,34.95,34.49,34.74,14833126
7-Nov-16,34.24,34.75,34.15,34.69,19296598
4-Nov-16,33.53,33.93,33.42,33.61,21914746
3-Nov-16,34.45,34.52,33.87,33.93,19400032
2-Nov-16,34.60,34.90,34.47,34.60,21416408
1-Nov-16,34.90,35.16,34.27,34.52,25368222
31-Oct-16,34.92,35.08,34.84,34.87,19188602
28-Oct-16,34.87,35.17,34.71,34.74,22296428
27-Oct-16,35.10,35.23,34.75,34.81,14634685
26-Oct-16,35.04,35.20,34.74,34.92,19977604
25-Oct-16,35.14,35.25,35.01,35.10,17860312
24-Oct-16,35.43,35.49,35.11,35.26,21524741
21-Oct-16,35.21,35.40,34.81,35.15,20813248
20-Oct-16,35.41,35.67,35.10,35.43,25669479
19-Oct-16,36.07,36.09,35.23,35.51,75229016
18-Oct-16,37.97,38.05,37.53,37.75,42907753
17-Oct-16,37.55,37.72,37.24,37.29,15788142
14-Oct-16,37.19,37.70,37.16,37.45,19123944
13-Oct-16,36.85,37.13,36.46,36.97,16936015
12-Oct-16,37.20,37.25,36.81,37.13,14053888
11-Oct-16,37.91,38.00,36.82,37.27,27650460
10-Oct-16,38.25,38.36,37.90,38.02,14954297
7-Oct-16,38.08,38.22,37.78,38.10,16942539
6-Oct-16,37.84,38.16,37.58,38.07,15171434
5-Oct-16,37.75,38.31,37.64,37.99,22420804
4-Oct-16,37.77,37.94,37.33,37.54,14393109
3-Oct-16,37.69,37.95,37.53,37.66,14113578
30-Sep-16,37.47,37.92,37.44,37.75,24279306
29-Sep-16,37.49,37.53,37.00,37.32,17674969
28-Sep-16,37.31,37.50,37.15,37.44,19020799
27-Sep-16,36.90,37.22,36.63,37.18,22391576
26-Sep-16,36.92,36.94,36.60,36.65,25518796
23-Sep-16,37.45,37.65,37.12,37.19,18062474
22-Sep-16,37.60,37.83,37.44,37.55,17013410
21-Sep-16,37.21,37.46,36.86,37.45,21233698
20-Sep-16,37.42,37.43,36.94,37.14,24796900
19-Sep-16,37.69,38.02,37.09,37.16,30531708
16-Sep-16,37.72,38.05,37.25,37.67,74577899
15-Sep-16,35.74,36.65,35.54,36.56,24585103
14-Sep-16,35.51,35.82,35.40,35.62,14127224
13-Sep-16,35.75,35.88,35.32,35.61,23591345
12-Sep-16,35.19,36.12,35.06,36.08,22796599
9-Sep-16,36.10,36.39,35.44,35.44,29457900
8-Sep-16,36.35,36.59,36.12,36.44,20356511
7-Sep-16,36.65,36.65,36.38,36.46,18495645
6-Sep-16,36.38,36.60,36.17,36.57,22337790
2-Sep-16,36.21,36.33,35.95,36.08,16726718
1-Sep-16,35.99,36.04,35.58,36.02,18925769
31-Aug-16,35.62,35.90,35.58,35.89,20562722
30-Aug-16,35.59,35.74,35.52,35.70,15183208
29-Aug-16,35.48,35.67,35.15,35.55,15264300
26-Aug-16,35.11,35.58,35.05,35.26,14469924
25-Aug-16,35.05,35.22,34.90,35.09,12427980
24-Aug-16,35.32,35.41,35.02,35.15,16343525
23-Aug-16,35.50,35.69,35.30,35.40,18316042
22-Aug-16,35.20,35.45,35.12,35.36,14941430
19-Aug-16,34.84,35.27,34.74,35.24,16417640
18-Aug-16,34.96,35.09,34.75,34.97,16085181
17-Aug-16,35.17,35.21,34.77,35.02,18221644
16-Aug-16,34.77,35.21,34.77,35.21,16320929
15-Aug-16,34.70,35.16,34.63,34.91,18931063
12-Aug-16,34.52,34.76,34.44,34.57,15708316
11-Aug-16,34.66,34.74,34.49,34.68,16364120
10-Aug-16,35.00,35.00,34.50,34.53,19579027
9-Aug-16,35.04,35.16,34.84,34.92,12578884
8-Aug-16,34.90,35.17,34.86,35.04,19497332
5-Aug-16,34.80,35.13,34.70,34.98,20046211
4-Aug-16,34.29,34.62,34.22,34.58,16362642
3-Aug-16,34.10,34.28,33.99,34.25,18388764
2-Aug-16,34.81,34.87,34.32,34.56,20057327
1-Aug-16,34.82,34.91,34.56,34.85,18824409
29-Jul-16,34.77,34.92,34.60,34.86,18171236
28-Jul-16,34.83,34.83,34.52,34.77,21667377
27-Jul-16,35.00,35.28,34.63,34.83,23601763
26-Jul-16,34.75,35.23,34.70,35.09,29644428
25-Jul-16,34.62,34.76,34.57,34.69,20277701
22-Jul-16,34.38,34.70,34.26,34.66,33033653
21-Jul-16,34.33,34.49,33.86,34.27,63708597
20-Jul-16,35.30,35.93,35.06,35.69,42994187
19-Jul-16,34.89,35.16,34.85,35.15,20395424
18-Jul-16,35.18,35.20,34.95,35.05,19347177
15-Jul-16,35.26,35.29,34.90,35.07,23661856
14-Jul-16,35.13,35.30,34.96,35.20,25296374
13-Jul-16,35.04,35.25,34.88,35.01,29120904
12-Jul-16,34.51,34.97,34.48,34.94,28064113
11-Jul-16,34.04,34.50,34.04,34.38,23820667
8-Jul-16,33.65,34.00,33.50,34.00,23341870
7-Jul-16,32.96,33.55,32.96,33.20,26119445
6-Jul-16,32.80,33.00,32.38,32.97,21070217
5-Jul-16,32.50,32.73,32.46,32.68,20107191
1-Jul-16,32.64,32.88,32.47,32.75,17084570
30-Jun-16,32.00,32.88,31.97,32.80,34528919
29-Jun-16,31.35,31.98,31.31,31.93,22771058
28-Jun-16,30.97,31.20,30.81,31.19,23693871
27-Jun-16,31.41,31.41,30.44,30.72,35454030
24-Jun-16,31.80,32.32,31.40,31.55,38094301
23-Jun-16,32.58,33.00,32.50,32.99,22048784
22-Jun-16,32.30,32.63,32.25,32.29,18304758
21-Jun-16,32.26,32.38,32.09,32.32,15476450
20-Jun-16,32.07,32.44,32.01,32.17,21961579
17-Jun-16,31.73,31.81,31.47,31.76,27047860
16-Jun-16,31.44,31.77,31.22,31.69,18547853
15-Jun-16,32.25,32.26,31.59,31.61,23783272
14-Jun-16,32.01,32.24,31.79,32.14,18754277
13-Jun-16,32.05,32.50,32.04,32.17,23004832
10-Jun-16,31.70,32.24,31.65,32.04,35749113
9-Jun-16,31.68,32.00,31.68,31.94,11276764
8-Jun-16,31.80,32.00,31.79,31.89,12732088
7-Jun-16,31.75,32.02,31.70,31.88,19339090
6-Jun-16,31.64,31.82,31.58,31.68,15139603
3-Jun-16,31.74,31.74,31.40,31.62,15777539
2-Jun-16,31.56,31.76,31.45,31.76,14140127
1-Jun-16,31.62,31.72,31.47,31.66,17753532
31-May-16,31.51,31.65,31.31,31.59,23040218
27-May-16,31.60,31.65,31.45,31.57,13301534
26-May-16,31.49,31.63,31.40,31.49,12657998
25-May-16,31.20,31.57,31.15,31.39,18359642
24-May-16,30.50,31.12,30.45,31.06,23494723
23-May-16,30.23,30.48,30.13,30.23,20809308
20-May-16,29.73,30.38,29.70,30.15,22727379
19-May-16,29.77,29.93,29.50,29.63,21659139
18-May-16,30.03,30.25,29.78,29.99,22415030
17-May-16,30.57,30.57,29.86,29.98,25550242
16-May-16,29.90,30.56,29.88,30.39,21739000
13-May-16,29.86,30.20,29.84,29.91,19857610
12-May-16,30.11,30.24,29.57,29.76,20760182
11-May-16,30.16,30.24,29.97,30.06,15662544
10-May-16,30.00,30.18,29.82,30.14,16963133
9-May-16,30.08,30.17,29.76,29.80,16813826
6-May-16,29.61,30.11,29.52,30.04,19594173
5-May-16,29.87,30.02,29.75,29.90,23342111
4-May-16,30.17,30.21,29.70,29.85,23185269
3-May-16,30.41,30.56,30.09,30.36,26923067
2-May-16,30.45,30.69,30.36,30.61,20960902
29-Apr-16,30.86,30.87,30.10,30.28,36303255
28-Apr-16,31.45,31.71,31.03,31.11,25045383
27-Apr-16,31.25,31.80,31.19,31.75,19872334
26-Apr-16,31.39,31.70,31.17,31.40,20885522
25-Apr-16,31.36,31.50,31.20,31.39,19202357
22-Apr-16,31.74,31.86,31.22,31.64,29387068
21-Apr-16,31.94,32.06,31.81,31.97,28165950
20-Apr-16,31.32,32.26,31.25,32.00,57414543
19-Apr-16,31.70,31.81,31.40,31.60,31820262
18-Apr-16,31.43,31.72,31.38,31.65,21516622
15-Apr-16,31.79,31.88,31.38,31.46,28593002
14-Apr-16,31.78,31.88,31.55,31.80,21541569
13-Apr-16,31.97,32.18,31.95,32.13,19842763
12-Apr-16,31.88,31.94,31.38,31.86,16647819
11-Apr-16,31.90,32.34,31.66,31.67,19624130
8-Apr-16,31.76,32.02,31.48,31.63,16360940
7-Apr-16,31.89,31.90,31.35,31.55,23199618
6-Apr-16,31.97,32.23,31.77,32.08,15501070
5-Apr-16,31.89,32.12,31.72,31.90,20014550
4-Apr-16,32.20,32.38,31.74,32.00,21456091
1-Apr-16,32.27,32.47,32.10,32.45,18011252
31-Mar-16,32.53,32.66,32.32,32.35,17650840
30-Mar-16,32.45,32.75,32.29,32.71,16364754
29-Mar-16,31.93,32.44,31.73,32.38,15178580
28-Mar-16,31.87,32.00,31.62,31.90,11419161
24-Mar-16,31.87,31.95,31.70,31.88,14126136
23-Mar-16,32.47,32.47,31.98,32.00,18460868
22-Mar-16,32.16,32.46,31.95,32.32,22150713
21-Mar-16,32.23,32.42,31.95,32.34,21642305
18-Mar-16,32.16,32.69,32.06,32.68,49633122
17-Mar-16,31.76,32.17,31.70,31.98,22813015
16-Mar-16,31.49,31.80,31.17,31.69,26062419
15-Mar-16,31.34,31.65,31.06,31.65,16927746
14-Mar-16,31.66,31.69,31.30,31.43,17391304
11-Mar-16,31.67,31.79,31.53,31.76,22394486
10-Mar-16,31.14,31.40,30.38,31.25,29434616
9-Mar-16,30.83,31.04,30.67,30.86,14572783
8-Mar-16,30.83,30.88,30.38,30.56,18850558
7-Mar-16,30.59,31.12,30.50,30.94,18858185
4-Mar-16,30.50,30.86,30.05,30.63,20169869
3-Mar-16,31.13,31.35,30.54,30.58,25608765
2-Mar-16,30.30,30.87,30.12,30.54,23418506
1-Mar-16,29.93,30.53,29.75,30.37,25355600
29-Feb-16,29.72,30.14,29.58,29.59,21616487
26-Feb-16,29.88,30.08,29.70,29.80,19878207
25-Feb-16,29.32,29.62,28.95,29.62,17311044
24-Feb-16,28.52,29.30,28.38,29.19,21444582
23-Feb-16,29.30,29.34,28.60,28.80,26432913
22-Feb-16,29.11,29.54,29.00,29.35,23750437
19-Feb-16,29.20,29.33,28.71,28.71,41618797
18-Feb-16,29.53,29.76,29.38,29.42,20261469
17-Feb-16,28.86,29.62,28.73,29.47,27295051
16-Feb-16,28.75,28.95,28.36,28.78,30354226
12-Feb-16,28.57,28.70,28.14,28.64,19507854
11-Feb-16,27.83,28.41,27.68,28.22,28142620
10-Feb-16,28.88,29.00,28.19,28.23,26850901
9-Feb-16,28.49,29.14,28.41,28.81,22710592
8-Feb-16,28.74,28.98,28.30,28.82,28623830
5-Feb-16,29.58,29.76,28.91,29.04,27429383
4-Feb-16,29.14,29.88,29.11,29.77,29109722
3-Feb-16,29.72,29.72,28.52,29.34,44631950
2-Feb-16,30.45,30.49,29.63,29.80,24800126
1-Feb-16,30.72,31.12,30.64,30.82,18819957
29-Jan-16,30.21,31.03,30.10,31.02,37972532
28-Jan-16,30.02,30.18,29.75,29.97,22013858
27-Jan-16,29.88,30.22,29.64,29.81,26136434
26-Jan-16,29.61,30.05,29.61,29.94,24689760
25-Jan-16,29.99,30.22,29.57,29.60,26263977
22-Jan-16,30.12,30.24,29.51,29.92,25279762
21-Jan-16,29.65,30.03,29.24,29.66,30142437
20-Jan-16,29.35,29.87,29.21,29.59,39530285
19-Jan-16,29.98,30.06,29.48,29.80,28595217
15-Jan-16,29.73,30.50,29.45,29.76,75768021
14-Jan-16,31.97,32.87,31.80,32.74,46527996
13-Jan-16,32.76,32.93,31.83,31.91,33862507
12-Jan-16,32.76,32.89,32.27,32.68,28587697
11-Jan-16,31.81,32.22,31.68,32.06,27732435
8-Jan-16,32.09,32.22,31.43,31.51,29953840
7-Jan-16,32.28,33.01,31.84,31.84,37680521
6-Jan-16,33.25,33.52,32.80,33.08,25491255
5-Jan-16,33.96,34.00,33.53,33.83,16709510
4-Jan-16,33.88,34.01,33.46,33.99,27669050
31-Dec-15,34.82,34.96,34.44,34.45,14736687
30-Dec-15,35.38,35.45,34.94,34.99,11566786
29-Dec-15,35.01,35.59,35.01,35.44,14188583
28-Dec-15,34.95,35.00,34.57,34.93,9449390
24-Dec-15,35.07,35.26,34.96,34.98,5893789
23-Dec-15,34.95,35.05,34.78,35.00,12526530
22-Dec-15,34.36,34.78,34.27,34.73,18421967
21-Dec-15,34.11,34.30,33.82,34.24,18006803
18-Dec-15,34.73,34.75,33.86,33.86,41336631
17-Dec-15,35.32,35.37,34.76,34.91,24963557
16-Dec-15,35.36,35.47,34.77,35.30,23257890
15-Dec-15,34.65,35.35,34.64,35.18,24365862
14-Dec-15,34.38,34.48,33.88,34.47,19357075
11-Dec-15,34.31,34.65,34.20,34.27,21251423
10-Dec-15,34.85,35.06,34.66,34.77,17400745
9-Dec-15,34.88,35.22,34.51,34.81,22548299
8-Dec-15,34.67,34.95,34.42,34.75,13380229
7-Dec-15,34.79,35.17,34.75,34.98,17731885
4-Dec-15,34.11,35.02,34.00,34.94,24900994
3-Dec-15,34.97,34.99,34.00,34.04,30131055
2-Dec-15,35.09,35.41,34.80,34.83,18644138
1-Dec-15,35.00,35.20,34.71,35.09,23352203
30-Nov-15,34.55,34.90,34.43,34.77,20131700
27-Nov-15,34.54,34.68,34.40,34.46,6620757
25-Nov-15,34.26,34.74,34.14,34.45,17939406
24-Nov-15,34.33,34.44,33.90,34.36,21364546
23-Nov-15,34.72,34.85,34.41,34.48,20097094
20-Nov-15,34.48,35.29,34.48,34.66,36892008
